A,abs_l,abs_s,C_air,C_chl,carbon_balance,convergence,E,E_q,f_par,g_mc,g_mc25,g_sc,g_sw,g_uc,g_uw,gamma_star,gamma_star25,H,J_max,J_max25,K_C,K_C25,k_mc,K_O,K_O25,k_sc,k_uc,L,leafsize,logit_sr,O,P,phi_J,PPFD,r,R_abs,R_d,R_d25,RH,S_r,S_sw,T_air,T_leaf,theta_J,V_cmax,V_cmax25,V_tpu,V_tpu25,wind,H2O,i
5.14050067278165,0.97,0.5,41,26.6562100898332,4.54885241866544,0,0.000591648254116212,220,0.5,1.39899596918467,3,0.319435499235621,0.524963766185672,0.1,0.164341085271318,2.67160991710167,3.743,26.7210753630956,37.5463721664124,75,8.91811454968497,27.238,1,11.9569567970536,16.582,0.999999516766676,1,26.2779478558106,0.004,-4.83233440912913e-07,21.27565,101.3246,0.331,250,0.2,812.884174507731,1.14516254484592,2,0.5,759.885073238468,110,288.15,288.297436806911,0.825,24.3312246273077,50,97.3248985092306,200,2,0.001,38
10.9535779273446,0.97,0.5,41,31.596202347668,3.92870961924529,0,0.00702486830809929,220,0.5,3.43320322402377,3,2.50964287518134,4.12437433750732,0.1,0.164341085271318,5.09828141143465,3.743,-6.54457055045696,112.918857501119,75,75.7774611761968,27.238,1,22.3759120188892,16.582,1.01125346648585,1,306.103184140667,0.04,0.0111906173064186,21.27565,101.3246,0.331,1400,0.2,1286.74492509195,3.33386710990002,2,0.5,987.186306454794,616,308.15,307.789346416711,0.825,96.7443854669202,50,386.977541867681,200,0.2,0.001,455
15.9699443068468,0.97,0.5,41,23.6699193672591,12.9511330916937,0,0.00301881121515305,220,0.5,2.9342907675305,3,1.31213334323181,2.15637417647397,0.1,0.164341085271318,3.69352364478702,3.743,-15.8952129992093,146.391453767353,150,26.0639640183727,27.238,1,16.3694014864656,16.582,1.0001100889739,1,132.849544797612,0.04,0.000110082914552222,21.27565,101.3246,0.331,525,0.2,981.490595111703,1.95647361425997,2,0.5,864.535629947521,231,298.15,297.748462049599,0.825,97.1977800047573,100,194.395560009515,200,2,0.001,1090
18.5912209308734,0.97,0.5,41,20.9856177014058,14.1376705096479,0,0.00445355042122549,220,0.5,3.09763824845399,3,10,16.4341085271318,0.1,0.164341085271318,3.82038431591463,3.743,62.063942332384,155.607660237845,150,29.147535930675,27.238,1,16.9143482224695,16.582,1.28369716463344,1,195.792329873246,0.4,0.249744324360836,21.27565,101.3246,0.331,1700,0.2,1134.31316398834,2.06883483380243,2,0.5,876.456924371469,748,288.15,298.769628390356,0.825,104.467897759518,100,208.935795519037,200,0.2,0.001,1453
9.32901343976527,0.97,0.5,41,24.1863964977992,8.2388474376531,0,0.00109016600211217,220,0.5,1.38769647887338,3,0.688261008149077,1.13109561029151,0.1,0.164341085271318,2.6633970963544,3.743,10.960976906102,74.5865738651332,150,8.82766149732137,27.238,1,11.9213101744104,16.582,0.999999545290421,1,48.4236097644148,0.004,-4.54709682681968e-07,21.27565,101.3246,0.331,275,0.2,818.353841163594,1.1393471731975,2,0.5,758.968669239097,121,288.15,288.210477443476,0.825,48.343479354858,100,96.6869587097161,200,2,0.001,782
9.13436240192851,0.97,0.5,41,25.2817736051134,7.39331723499579,0,0.00174104516693272,220,0.5,3.18298625523785,3,1.286213998087,2.11377804336778,0.1,0.164341085271318,3.89306948930403,3.743,5.6767047109339,80.4098130608288,75,31.0244194456686,27.238,1,17.2263291629644,16.582,0.726506543056165,1,76.4988983541541,0.4,-0.319507789740965,21.27565,101.3246,0.331,450,0.2,965.375113179323,2.134325333509,2,0.5,883.199503896221,198,298.15,299.342586499187,0.825,54.3795987263368,50,217.518394905347,200,0.2,0.001,579
7.94178752353766,0.97,0.5,41,27.8234284214921,3.71992516090019,0,0.00422186236263747,220,0.5,3.01587427729813,3,0.633651885507531,1.04135038548525,0.1,0.164341085271318,5.62181180409332,3.743,160.641603070517,117.174775944148,75,104.738215288767,27.238,1,24.600781739831,16.582,0.99948842255181,1,183.385342722759,0.004,-0.000511708348577998,21.27565,101.3246,0.331,1800,0.2,1372.65132254957,3.91874760328555,2,0.5,1028.62437518385,792,308.15,310.969650595795,0.825,119.207358989736,50,476.829435958944,200,0.2,0.001,233
10.8345461956797,0.97,0.5,41,24.4573344257428,7.47253378748153,0,0.00336201240819819,220,0.5,3.43532694237765,3,0.673082383096391,1.10615089315066,0.1,0.164341085271318,5.09485047294441,3.743,-68.7221153586818,225.737623816925,150,75.6087415051669,27.238,1,22.3613093407974,16.582,1.00000135186216,1,146.500224067723,0.004,1.35186124330133e-06,21.27565,101.3246,0.331,350,0.2,1064.68991449449,3.33015800090341,2,0.5,986.908239327728,154,308.15,307.767669874864,0.825,193.210752134132,100,386.421504268264,200,2,0.001,804
7.86850924765353,0.97,0.5,41,25.9585635111843,6.36484662442566,0,0.00150366262322787,220,0.5,2.99325089285798,3,0.522215439932464,0.858214521439399,0.1,0.164341085271318,3.737832453087,3.743,-1.65181817805703,74.8119134872571,75,27.1136856885107,27.238,1,16.559799190972,16.582,1.00010257724939,1,66.1487081756878,0.04,0.000102571988704837,21.27565,101.3246,0.331,300,0.2,933.218906187787,1.99543620328608,2,0.5,868.722016001929,132,298.15,298.10826009022,0.825,49.8526706624129,50,199.410682649652,200,2,0.001,298
19.59717227052,0.97,0.5,41,22.0823584599061,15.6611829539665,0,0.00393598931655351,220,0.5,3.0705168164079,3,1.39333012828736,2.28981385423969,0.1,0.164341085271318,3.79835209134394,3.743,80.1660628093703,154.01647135257,150,28.5946559001163,27.238,1,16.8197456951681,16.582,0.99999843173484,1,173.068457846024,0.004,-1.56826639008494e-06,21.27565,101.3246,0.331,1200,0.2,1127.63129156466,2.04914305165491,2,0.5,874.400682121286,528,298.15,298.594239291274,0.825,103.185257343907,100,206.370514687815,200,2,0.001,934
