A,abs_l,abs_s,C_air,C_chl,carbon_balance,E,E_q,f_par,g_mc,g_mc25,g_sc,g_sw,g_uc,g_uw,gamma_star,gamma_star25,H,J_max,J_max25,K_C,K_C25,k_mc,K_O,K_O25,k_sc,k_uc,L,leafsize,logit_sr,O,P,phi_J,PPFD,r,R_abs,R_d,R_d25,RH,S_r,S_sw,T_air,T_leaf,theta_J,V_cmax,V_cmax25,V_tpu,V_tpu25,wind,H2O,SR,i
11.5724144602435,0.97,0.8,41,22.837544193536,9078.25295593724,0.00249393578562728,220,0.5,3.13675264981631,3,1.00948330708964,1.6589958225039,0.1,0.164341085271318,3.8530109663765,3.743,28.8989750709775,118.466089174243,112.5,29.9799172332702,27.238,1,17.0544110777572,16.582,4.53999297624848e-05,1,109.613623496213,0.1,-10,21.27565,101.3246,0.331,400,0.2,1018.00527483157,2.09813217120722,2,0.5,879.491241415073,176,298.15,299.027880441535,0.825,79.7870977601433,75,212.765594027049,200,2,1000,2997,1
11.5724193804683,0.97,0.8,41,22.8375645031502,9078.25385970578,0.00249394070505542,220,0.5,3.13675192452878,3,1.00948692902371,1.65900177482967,0.1,0.164341085271318,3.85301035128303,3.743,28.8988154627979,118.466056070712,112.5,29.9799013863265,27.238,1,17.0544084375634,16.582,4.53999297624848e-05,1,109.613840237096,0.1,-10,21.27565,101.3246,0.331,400,0.2,1018.00527483157,2.09813161734544,2,0.5,879.491184330048,176,298.15,299.027875589294,0.825,79.7870705538866,75,212.765521477031,200,2,1000,2985,2
11.5724180890001,0.97,0.8,41,22.8375591722462,9078.25837861539,0.00249393941379378,220,0.5,3.13675211490379,3,1.00948597833011,1.65900021244948,0.1,0.164341085271318,3.85301051273403,3.743,28.8988573570818,118.466064759795,112.5,29.9799055458642,27.238,1,17.0544091305669,16.582,4.53999297624848e-05,1,109.613783346501,0.1,-10,21.27565,101.3246,0.331,400,0.2,1018.00527483157,2.09813176272421,2,0.5,879.491199313843,176,298.15,299.02787686292,0.825,79.7870776950401,75,212.765540520107,200,2,1000,2925,3
11.5724218529779,0.97,0.8,41,22.8375747091506,9078.26402725371,0.00249394317717465,220,0.5,3.13675156005594,3,1.00948874912756,1.65900476600808,0.1,0.164341085271318,3.85301004218526,3.743,28.8987352562268,118.46603943547,112.5,29.9798934228967,27.238,1,17.0544071108089,16.582,4.53999297624848e-05,1,109.613949154086,0.1,-10,21.27565,101.3246,0.331,400,0.2,1018.00527483157,2.09813133901794,2,0.5,879.491155643587,176,298.15,299.027873150937,0.825,79.7870568821559,75,212.765485019082,200,2,1000,2850,4
11.572429640508,0.97,0.8,41,22.8376068545272,9078.27532457702,0.00249395096351866,220,0.5,3.13675041208847,3,1.00949448185755,1.65901418723876,0.1,0.164341085271318,3.8530090686314,3.743,28.8984826325081,118.465987040055,112.5,29.9798683407848,27.238,1,17.054402931979,16.582,4.53999297624848e-05,1,109.614292205973,0.1,-10,21.27565,101.3246,0.331,400,0.2,1018.00527483157,2.09813046238015,2,0.5,879.491065290888,176,298.15,299.027865470935,0.825,79.7870138208175,75,212.765370188847,200,2,1000,2700,5
11.5724445422404,0.97,0.8,41,22.8376683662921,9078.29791941055,0.00249396586316579,220,0.5,3.13674821537956,3,1.00950545185254,1.65903221544759,0.1,0.164341085271318,3.85300720567678,3.743,28.8979992214834,118.465886778216,112.5,29.9798203446767,27.238,1,17.0543949355335,16.582,4.53999297624848e-05,1,109.614948656826,0.1,-10,21.27565,101.3246,0.331,400,0.2,1018.00527483157,2.09812878488074,2,0.5,879.490892395464,176,298.15,299.027850774779,0.825,79.7869314203579,75,212.765150454288,200,2,1000,2400,6
11.5724747808845,0.97,0.8,41,22.8377931876767,9078.34310982482,0.00249399609832212,220,0.5,3.13674375769025,3,1.00952771300929,1.65906879967418,0.1,0.164341085271318,3.85300342527214,3.743,28.8970182580177,118.465683321571,112.5,29.9797229486367,27.238,1,17.054378708729,16.582,4.53999297624848e-05,1,109.616280761867,0.1,-10,21.27565,101.3246,0.331,400,0.2,1018.00527483157,2.09812538081311,2,0.5,879.49054154693,176,298.15,299.027820952554,0.825,79.7867642091884,75,212.764704557836,200,2,1000,1800,7
11.6425413007059,0.97,0.8,41,23.0840311002972,9086.72816961843,0.00246650451791836,220,0.5,3.14079093432542,3,0.968654594546857,1.59189747320879,0.1,0.164341085271318,3.85644183781982,3.743,29.7889015334212,118.650683141738,112.5,30.0683993985024,27.238,1,17.0691373659173,16.582,0.0388545365973372,1,108.405084858395,0.1,-3.24793043685358,21.27565,101.3246,0.331,400,0.2,1018.00527483157,2.10122240329633,2,0.5,879.809580862518,176,298.15,299.054935700186,0.825,79.9389257233021,75,213.170468595472,200,2,1000,1500,8
11.7190910412644,0.97,0.8,41,23.3606206798417,9115.28502485574,0.00244388562342034,220,0.5,3.14412316120523,3,0.930770038668026,1.5296375829273,0.1,0.164341085271318,3.85928216964787,3.743,30.5251400354036,118.803425964801,112.5,30.1417893309943,27.238,1,17.0813285880959,16.582,0.0954381274059326,1,107.408605066537,0.1,-2.34927712202691,21.27565,101.3246,0.331,400,0.2,1018.00527483157,2.10378208837384,2,0.5,880.073020697888,176,298.15,299.077319560311,0.825,80.0647364138731,75,213.505963770328,200,2,1000,1200,9
11.8887782709793,0.97,0.8,41,24.0102923358551,9252.36081861078,0.00243180430525271,220,0.5,3.14589344719826,3,0.87891870099816,1.44442453187294,0.1,0.164341085271318,3.8607945974891,3.743,30.9169864332741,118.884729848576,112.5,30.1809191754527,27.238,1,17.0878200934368,16.582,0.309063895330868,1,106.876382555176,0.1,-1.17420724245459,21.27565,101.3246,0.331,400,0.2,1018.00527483157,2.10514557916064,2,0.5,880.213258982772,176,298.15,299.089233226368,0.825,80.1317713757008,75,213.684723668535,200,2,1000,600,10
11.9865674068564,0.97,0.8,41,24.4163520695029,9377.27973447572,0.00245887338677755,220,0.5,3.14192359405161,3,0.876583489757848,1.44058682037724,0.1,0.164341085271318,3.85740634574173,3.743,30.0389619825874,118.702558856191,112.5,30.0933068408178,27.238,1,17.0732772402595,16.582,0.533834986446977,1,108.068883640886,0.1,-0.627668501920889,21.27565,101.3246,0.331,400,0.2,1018.00527483157,2.10209147225867,2,0.5,879.899049347139,176,298.15,299.062538189475,0.825,79.9816361891261,75,213.284363171003,200,2,1000,300,11
