A,abs_l,abs_s,C_air,C_chl,carbon_balance,E,E_q,f_par,g_mc,g_mc25,g_sc,g_sw,g_uc,g_uw,gamma_star,gamma_star25,H,J_max,J_max25,K_C,K_C25,k_mc,K_O,K_O25,k_sc,k_uc,L,leafsize,logit_sr,O,P,phi_J,PPFD,r,R_abs,R_d,R_d25,RH,S_r,S_sw,T_air,T_leaf,theta_J,V_cmax,V_cmax25,V_tpu,V_tpu25,wind,H2O,SR,i
3.31022152944028,0.97,0.8,41,28.3650316518472,2587.71620099087,0.000722498260130409,220,0.5,3.01929218997799,3,0.189480500054549,0.311394310167167,0.1,0.164341085271318,3.75788970646008,3.743,3.95331150317149,113.312123839263,112.5,27.5984218243838,27.238,1,16.6459639590422,16.582,4.53999297624848e-05,1,31.7789027849801,0.1,-10,21.27565,101.3246,0.331,100,0.2,906.340331127716,2.0131730994394,2,0.5,870.609012072794,44,298.15,298.270012489975,0.825,75.6387092523027,75,201.703224672807,200,2,1000,500,1
3.31020900781042,0.97,0.8,41,28.3648744864405,2587.70206454982,0.000722485738956049,220,0.5,3.01929416729803,3,0.189474669879795,0.311384728794702,0.1,0.164341085271318,3.75789124180049,3.743,3.95371845886358,113.312207517111,112.5,27.5984591596631,27.238,1,16.6459705542398,16.582,4.53999297624848e-05,1,31.7783516593388,0.1,-10,21.27565,101.3246,0.331,100,0.2,906.340331127716,2.01317445953532,2,0.5,870.609156327991,44,298.15,298.270024845405,0.825,75.6387752608476,75,201.703400695594,200,2,1000,1500,2
3.31019518307213,0.97,0.8,41,28.3647009657936,2587.6879285869,0.000722471915178202,220,0.5,3.01929635032051,3,0.189468233218992,0.311374150716482,0.1,0.164341085271318,3.75789293686603,3.743,3.95416775096395,113.31229990015,112.5,27.5985003790617,27.238,1,16.6459778355515,16.582,4.53999297624848e-05,1,31.7777431989804,0.1,-10,21.27565,101.3246,0.331,100,0.2,906.340331127716,2.0131759611257,2,0.5,870.609315590367,44,298.15,298.270038486196,0.825,75.6388481364547,75,201.703595030546,200,2,1000,2500,3
4.4369399378583,0.97,0.8,41,27.5463876681158,3489.78749921162,0.000947141643392454,220,0.5,3.01716626650779,3,0.289388490943586,0.475584186666978,0.1,0.164341085271318,3.75624009594955,3.743,3.51598584091338,113.222210370236,112.5,27.5583281720553,27.238,1,16.6388778564587,16.582,4.53999297624848e-05,1,41.6603273608865,0.1,-10,21.27565,101.3246,0.331,125,0.2,915.630316936403,2.01171198609919,2,0.5,870.454003665762,55,298.15,298.256735161656,0.825,75.5678056177225,75,201.514148313927,200,2,1000,500,4
4.43692118915654,0.97,0.8,41,27.5462037680123,3489.76590904725,0.000947122895400056,220,0.5,3.01716923039698,3,0.289379077560383,0.475568716610863,0.1,0.164341085271318,3.75624239422983,3.743,3.51659524794171,113.222335650785,112.5,27.5583840032756,27.238,1,16.6388877290667,16.582,4.53999297624848e-05,1,41.6595019687672,0.1,-10,21.27565,101.3246,0.331,125,0.2,915.630316936403,2.01171402146862,2,0.5,870.454219650855,55,298.15,298.256753663209,0.825,75.5679043779101,75,201.514411674427,200,2,1000,1500,5
4.436902058534,0.97,0.8,41,27.5460161228015,3489.74431959952,0.000947103766210542,220,0.5,3.01717225454559,3,0.289369472863542,0.475552932147836,0.1,0.164341085271318,3.75624473924136,3.743,3.5172170457984,113.222463478649,112.5,27.5584409698011,27.238,1,16.6388978024155,16.582,4.53999297624848e-05,1,41.6586597942367,0.1,-10,21.27565,101.3246,0.331,125,0.2,915.630316936403,2.01171609822434,2,0.5,870.454440027534,55,298.15,298.256772540947,0.825,75.5680051462727,75,201.51468039006,200,2,1000,2500,6
5.49578501023327,0.97,0.8,41,27.0170921448697,4323.96946312883,0.00115290683253811,220,0.5,3.01803661421815,3,0.380030821867046,0.624546777021812,0.1,0.164341085271318,3.75691517292148,3.743,3.69497416808694,113.259007905889,112.5,27.574730946296,27.238,1,16.6417777430769,16.582,0.0644546404040121,1,50.7107046734436,0.1,-2.74179355212657,21.27565,101.3246,0.331,150,0.2,924.923121391211,2.01230987290475,2,0.5,870.517442457645,66,298.15,298.262169259776,0.825,75.5968175321861,75,201.591513419163,200,2,1000,500,7
5.48140543699579,0.97,0.8,41,26.872741007405,4321.99018149077,0.00115937181235625,220,0.5,3.01701452938313,3,0.388193644939254,0.637961649047457,0.1,0.164341085271318,3.75612244062372,3.743,3.48478818586764,113.215796872382,112.5,27.5554701228994,27.238,1,16.6383724501002,16.582,4.53999297624848e-05,1,50.9953864087767,0.1,-10,21.27565,101.3246,0.331,150,0.2,924.923121391211,2.01160779099451,2,0.5,870.442946704288,66,298.15,298.25578800393,0.825,75.5627499022037,75,201.500666405877,200,2,1000,1500,8
5.48138009333068,0.97,0.8,41,26.8725353487975,4321.96121988341,0.00115934647074577,220,0.5,3.01701853678,3,0.3881799924384,0.637939212379387,0.1,0.164341085271318,3.75612554777049,3.743,3.48561209204156,113.215966246762,112.5,27.5555455981506,27.238,1,16.6383857973282,16.582,4.53999297624848e-05,1,50.9942704983106,0.1,-10,21.27565,101.3246,0.331,150,0.2,924.923121391211,2.01161054264434,2,0.5,870.443238708583,66,298.15,298.25581301762,0.825,75.5628834157352,75,201.501022441961,200,2,1000,2500,9
6.47823666300371,0.97,0.8,41,26.6155549144966,5092.4345359797,0.00134126813851399,220,0.5,3.02166534834543,3,0.461881077627012,0.759060375635089,0.1,0.164341085271318,3.75973380166625,3.743,4.44200359826746,113.412619436427,112.5,27.6432905889832,27.238,1,16.6538853828897,16.582,0.132938787371532,1,58.9944807804232,0.1,-2.0178665020326,21.27565,101.3246,0.331,175,0.2,934.218740318618,2.01480697048107,2,0.5,870.782255848264,77,298.15,298.284849680619,0.825,75.7180141027642,75,201.914704274038,200,2,1000,500,10
