A,abs_l,abs_s,C_air,C_chl,carbon_balance,E,E_q,f_par,g_mc,g_mc25,g_sc,g_sw,g_uc,g_uw,gamma_star,gamma_star25,H,J_max,J_max25,K_C,K_C25,k_mc,K_O,K_O25,k_sc,k_uc,L,leafsize,logit_sr,O,P,phi_J,PPFD,r,R_abs,R_d,R_d25,RH,S_r,S_sw,T_air,T_leaf,theta_J,V_cmax,V_cmax25,V_tpu,V_tpu25,wind,H2O,i
10.8221896232109,0.97,0.8,41,20.8613685306804,3785.33162381161,0.00162576318779384,220,0.5,3.03515460905812,3,0.512999996514988,0.843069761714555,0.1,0.164341085271318,3.77026983711389,3.743,112.042904493449,101.321251191656,100,27.9006203212158,27.238,1,16.6991413156436,16.582,0.99999987566758,1,71.5018057647445,5e-04,-1.24332428167776e-07,21.27565,101.3246,0.331,500,0.2,1055.31601005621,2.02415195729626,2,0.5,871.771262755197,220,298.15,298.369509252784,0.825,101.562615202886,100,203.125230405772,200,2,500,4
2.96191887711315,0.97,0.8,41,24.6928751524713,995.400851273449,0.000485558587283128,220,0.5,3.03994044319763,3,0.0844147912702492,0.138728184103045,0.1,0.164341085271318,3.77403049117055,3.743,12.8619140124764,101.503154883687,100,27.9928731328468,27.238,1,16.7152937042836,16.582,0.99320507160389,1,21.354456112534,5e-04,-0.00681811903425016,21.27565,101.3246,0.331,100,0.2,906.340331127716,2.02749162531737,2,0.5,872.12394153988,44,298.15,298.399681340397,0.825,101.779119294638,100,203.558238589277,200,0.02,500,1
13.4791517942878,0.97,0.8,41,18.6638844661863,3474.79227471341,0.00326478362243048,220,0.5,3.59811413305074,3,0.611576326783959,1.00507117269922,0.1,0.164341085271318,4.61523428647994,3.743,340.986535623726,137.512587929944,100,54.5004850966065,27.238,1,20.3169520334364,16.582,0.988416971631582,1,142.707067298646,5e-04,-0.0116506342020854,21.27565,101.3246,0.331,1500,0.2,1430.8056970972,2.82789659378937,2,0.5,947.111392194618,660,298.15,304.616951762885,0.825,156.429134180387,100,312.858268360775,200,0.02,500,5
12.6234121167839,0.97,0.8,41,20.0554356522806,4307.05641601537,0.0020046496423766,220,0.5,3.14109194999528,3,0.601197923026486,0.988015191330349,0.1,0.164341085271318,3.85669807023554,3.743,462.866175765791,105.479524716265,100,30.0750149375771,27.238,1,17.0702371733176,16.582,0.999999830489742,1,88.1059743951432,5e-04,-1.69510272307749e-07,21.27565,101.3246,0.331,1500,0.2,1430.8056970972,2.10145326741975,2,0.5,879.833350248423,660,298.15,299.056955535021,0.825,106.600361409518,100,213.200722819037,200,2,500,6
2.96039814944146,0.97,0.8,41,24.2858612033505,1013.1556693855,0.000467043405335229,220,0.5,3.00512350241465,3,0.0791977916518302,0.130154510311535,0.1,0.164341085271318,3.74693699401934,3.743,16.2165750051165,100.190979310119,100,27.3329778265546,27.238,1,16.5989134867144,16.582,0.99999994831352,1,20.5445630957037,5e-04,-5.16864816278511e-08,21.27565,101.3246,0.331,100,0.2,906.340331127716,2.00347978067079,2,0.5,869.579192970338,44,298.15,298.181769519437,0.825,100.224801713756,100,200.449603427511,200,2,500,2
11.1238719527785,0.97,0.8,41,20.8134023184235,3667.41195887926,0.00189452401750999,220,0.5,3.24283891341219,3,0.545143923931084,0.895895440878991,0.1,0.164341085271318,3.94785101670314,3.743,83.8676956648591,109.801740520279,100,32.493574939024,27.238,1,17.461347056475,16.582,0.994920591068423,1,83.2077043995604,5e-04,-0.00509235297980436,21.27565,101.3246,0.331,500,0.2,1055.31601005621,2.1842160367404,2,0.5,888.24048387007,220,298.15,299.768809828037,0.825,112.054252961208,100,224.108505922415,200,0.02,500,3
12.2480117825764,0.97,0.8,41,24.5426301522487,9531.96953956802,0.00271604224300842,220,0.5,3.27011757423834,3,0.915514449782222,1.50456638258784,0.1,0.164341085271318,3.97414531846982,3.743,45.4031386405631,111.033539837429,100,33.2156994500701,27.238,1,17.5741169550295,16.582,0.999524188041523,1,119.265108941464,0.4,-0.000475925192907231,21.27565,101.3246,0.331,500,0.2,1055.31601005621,2.20832439954067,2,0.5,890.647885277943,220,298.15,299.971719837296,0.825,113.654418325057,100,227.308836650113,200,2,1000,8
3.9168476792293,0.97,0.8,41,30.526027818085,3252.07238544775,0.000664775293781551,220,0.5,2.23042722778815,3,0.642042966031135,1.05514037828372,0.1,0.164341085271318,3.22378981141166,3.743,1.84407602135308,74.7670428794754,100,16.6126569648074,27.238,1,14.3464958289635,16.582,0.373116476371278,1,29.3708446413018,0.4,-0.985864638992268,21.27565,101.3246,0.331,100,0.2,849.736996419864,1.56239044707363,2,0.5,818.521720969696,44,293.15,293.705010146941,0.825,72.6901655513694,100,145.380331102739,200,0.02,1000,1
15.373250015761,0.97,0.8,41,22.7668621848389,10804.6933155723,0.00456855670018863,220,0.5,3.5870346091706,3,1.0065583824286,1.65418896957259,0.1,0.164341085271318,4.49010609940125,3.743,294.534601935844,133.031859565426,100,49.7593950303223,27.238,1,19.7825625210939,16.582,0.988582154096024,1,199.86666114882,5e-04,-0.0114835299654913,21.27565,101.3246,0.331,1500,0.2,1430.8056970972,2.7022428745495,2,0.5,936.405422234094,660,298.15,303.752445245106,0.825,147.509584824928,100,295.019169649856,200,0.02,1000,11
14.4310411290504,0.97,0.8,41,22.3295361969103,10597.5384163125,0.00383350271273788,220,0.5,3.42804368143054,3,0.916903529959484,1.50684921202644,0.1,0.164341085271318,4.15219271412254,3.743,302.729482531212,119.147692823818,100,38.4031077424741,27.238,1,18.3371329102597,16.582,0.99890258398058,1,168.111705050963,0.0565259462014422,-0.00109801862129022,21.27565,101.3246,0.331,1500,0.2,1377.58937102928,2.37430711879162,2,0.5,906.748151318488,660,293.15,301.318274998322,0.825,124.807842235087,100,249.615684470174,200,2,1000,10
