A,abs_l,abs_s,C_air,C_chl,carbon_balance,convergence,E,E_q,f_par,g_mc,g_mc25,g_sc,g_sw,g_uc,g_uw,gamma_star,gamma_star25,H,J_max,J_max25,K_C,K_C25,k_mc,K_O,K_O25,k_sc,k_uc,L,leafsize,logit_sr,O,P,phi_J,PPFD,r,R_abs,R_d,R_d25,RH,S_r,S_sw,T_air,T_leaf,theta_J,V_cmax,V_cmax25,V_tpu,V_tpu25,wind,H2O,SR,i
2.0424809619163,0.97,0.5,41,29.6254451734973,1.57893185004702,0,0.000463536286820748,220,0.5,2.98230219964353,3,0.0860363382008834,0.141393051927033,0.1,0.164341085271318,3.72949331188871,3.743,-3.59768799690925,111.762296462618,112.5,26.9139092049032,27.238,1,16.5239706233514,16.582,4.53999297624848e-05,1,20.3931079195328,0.1,-10,21.27565,101.3246,0.331,72.9303081496561,0.2,884.732271360099,1.98808005929951,2,0.5,867.935995884499,32.0893355858487,298.15,298.040805072452,0.825,74.4231077380738,75,198.461620634863,200,2,0.001,1.998,1
8.16810368509829,0.97,0.5,41,25.0149894735124,6.5570777341695,0,0.00161092516616781,220,0.5,2.9173556867317,3,0.678828673830809,1.11559440970645,0.1,0.164341085271318,3.68105101312632,3.743,-16.592658482353,109.10971807671,112.5,25.7736710782702,27.238,1,16.3157933835069,16.582,4.53999297624848e-05,1,70.8994470433656,0.1,-10,21.27565,101.3246,0.331,227.25120893533,0.2,917.65951196229,1.94556073873961,2,0.5,863.352723364361,99.9905319315452,298.15,297.646560674756,0.825,72.3735318210853,75,192.996084856227,200,2,0.001,1.99,2
11.4643537255576,0.97,0.5,41,22.4935237292911,9.23485439976816,0,0.00222297803688368,220,0.5,2.96426629218258,3,1.01912570713222,1.67484224738008,0.1,0.164341085271318,3.7158701364673,3.743,-7.23763571980146,111.017332262167,112.5,26.5897596127657,27.238,1,16.4654343362054,16.582,0.00200075066053812,1,97.8096876323222,0.1,-6.21423283857191,21.27565,101.3246,0.331,412.010804637984,0.2,957.221743745266,1.97608586334089,2,0.5,866.650051924618,181.284754040713,298.15,297.930348511676,0.825,73.8436393134954,75,196.916371502654,200,2,0.001,1.95,3
12.3678641818926,0.97,0.5,41,22.0689908464111,9.88133625752736,0,0.00238664314439298,220,0.5,3.0120377168451,3,1.05672943740096,1.73664062580624,0.1,0.164341085271318,3.75226971012043,3.743,2.4627334768041,113.005738013249,112.5,27.4619949708227,27.238,1,16.6218221951432,16.582,0.0312166041414698,1,104.980551226078,0.1,-3.46680514170493,21.27565,101.3246,0.331,506.543911914558,0.2,977.522576350894,2.00819700639754,2,0.5,870.080782050438,222.879321242406,298.15,298.224759387323,0.825,75.397295295705,75,201.05945412188,200,2,0.001,1.9,4
13.1158489525832,0.97,0.5,41,21.7905664026064,10.3779488031548,0,0.00255219104740463,220,0.5,3.06955194127333,3,1.07923094140233,1.77361984168445,0.1,0.164341085271318,3.79757648776748,3.743,14.425742159587,115.470278943934,112.5,28.575327260937,27.238,1,16.816415086825,16.582,0.0617629019506353,1,112.222471737656,0.1,-2.78445238682683,21.27565,101.3246,0.331,615.53453033662,0.2,1000.97701676937,2.04845119584891,2,0.5,874.328189059158,270.835193348113,298.15,298.588050285426,0.825,77.3551934239326,75,206.280515797154,200,2,0.001,1.8,5
13.8149872216874,0.97,0.5,41,21.6556263800695,10.800809993495,0,0.00273867482525808,220,0.5,3.13905792643479,3,1.08876679140906,1.78929116107536,0.1,0.164341085271318,3.85496799214121,3.743,29.4066863332814,118.571397167244,112.5,30.0303666221911,27.238,1,17.0628112444509,16.582,0.106479977687179,1,120.368586280254,0.1,-2.23979831444471,21.27565,101.3246,0.331,747.513629928126,0.2,1029.44811848133,2.09989467040658,2,0.5,879.672844566503,328.905997168375,298.15,299.043315558589,0.825,79.873684131294,75,212.996491016784,200,2,0.001,1.6,6
14.9782036961549,0.97,0.5,41,23.3152338896285,11.15056164163,1,0.00337971880069882,220,0.5,3.17221696873827,3,1.35756861446862,2.23104299432052,0.1,0.164341085271318,3.88357962777958,3.743,36.8044946670786,120.107068986137,112.5,30.7747174964241,27.238,1,17.1856066375049,16.582,0.200922962274381,1,148.510578145698,0.1,-1.60483371665741,21.27565,101.3246,0.331,923.99586905926,0.2,1067.63779155277,2.12572906736241,2,0.5,882.322718242715,406.558182386074,298.15,299.26826664046,0.825,81.1452782121271,75,216.387408565672,200,2,0.001,1.2,7
15.3878662776941,0.97,0.5,41,23.9356543686131,11.2505667980049,1,0.00365376815232688,220,0.5,3.18666692759206,3,1.46548375914721,2.40839191425742,0.1,0.164341085271318,3.89633653915186,3.743,40.0879876936696,120.789282382892,112.5,31.110709883115,27.238,1,17.2403479052046,16.582,0.251203297867035,1,160.537034793105,0.1,-1.3814927160227,21.27565,101.3246,0.331,1000,0.2,1084.1259504862,2.13728791980988,2,0.5,883.501109600367,440,298.15,299.368139013605,0.825,81.7156808427013,75,217.908482247203,200,2,0.001,1,8
15.7557096339322,0.97,0.5,41,24.5010404747667,11.3389945179919,0,0.0039269503997429,220,0.5,3.20114768463219,3,1.56836572560639,2.57746925448492,0.1,0.164341085271318,3.90931173527058,3.743,43.4183023813611,121.481500619608,112.5,31.4550694279852,27.238,1,17.2960202941946,16.582,0.311513412372399,1,172.52279198956,0.1,-1.16631288430629,21.27565,101.3246,0.331,1076.00413094074,0.2,1100.63882797801,2.14906995724346,2,0.5,884.697722132495,473.441817613926,298.15,299.469453506298,0.825,82.2980239829986,75,219.461397287996,200,2,0.001,0.8,9
16.4763146331155,0.97,0.5,41,25.6287703874824,11.5053303571479,1,0.00457613290093429,220,0.5,3.23234854616921,3,1.80994191530339,2.97447818639007,0.1,0.164341085271318,3.9379770606627,3.743,50.7425823217314,123.004472796207,112.5,32.2252589173706,27.238,1,17.4189941870995,16.582,0.496705946286575,1,200.999355052162,0.1,-0.699757085354876,21.27565,101.3246,0.331,1252.48637007187,0.2,1139.07657252648,2.17518997042278,2,0.5,887.334433747347,551.094002831625,298.15,299.692335740219,0.825,83.5923594961214,75,222.912958656324,200,2,0.001,0.4,10
