A,abs_l,abs_s,C_air,C_chl,carbon_balance,E,E_q,f_par,g_mc,g_mc25,g_sc,g_sw,g_uc,g_uw,gamma_star,gamma_star25,H,J_max,J_max25,K_C,K_C25,k_mc,K_O,K_O25,k_sc,k_uc,L,leafsize,logit_sr,O,P,phi_J,PPFD,R_abs,R_d,R_d25,RH,S_r,S_sw,T_air,T_leaf,theta_J,V_cmax,V_cmax25,V_tpu,V_tpu25,wind,H2O,i
0.151068335931601,0.97,0.8,41,39.489316640684,-1347.22167791884,0.00142275584588464,220,0.5,1.53599842791129,4,0,0,0.1,0.164341085271318,8.17981371862648,3.743,337.402094947096,54.1719641203986,50,362.557542515747,27.238,1,35.3906644283692,16.582,1.93853798862891,1,61.0127767716453,0.1,0.661934074856568,21.27565,101.3246,0.331,1500,1607.68388561189,7.28555496677583,2,0.5,1209.26774215241,660,313.15,323.805648075571,0.825,796.716299064879,150,1062.28839875317,200,2,500,3060
17.3775828083335,0.97,0.8,41,16.3371848932961,5093.04341945429,0.00359574798471245,220,0.5,2.16799170712924,2,0.942357758205435,1.54868096697327,0.1,0.164341085271318,3.95656683629718,3.743,305.04922253109,165.316294070058,150,32.7317119430034,27.238,0.5,17.4987296083077,16.582,0.445503227997072,1,157.915201119433,0.1,-0.808550786312851,21.27565,101.3246,0.331,1500,1352.00379964147,2.1921956881603,2,0.5,889.039338308941,660,290.65,299.836187673958,0.825,225.166651490409,200,225.166651490409,200,2,500,1644
5.96966059588748,0.97,0.8,41,22.6544136878717,1543.69990033489,0.00144113039760885,220,0.5,3.59809624575824,3,0.355870755933898,0.584841862465011,0.1,0.164341085271318,4.61674472969439,3.743,45.0835803561506,68.7820802130407,50,54.5595663299161,27.238,0.5,20.3234000370329,16.582,0.103813889347729,1,62.9926580657868,0.1,-2.26515550845696,21.27565,101.3246,0.331,500,1055.31601005621,2.82942714663689,2,0.5,947.239763991119,220,298.15,304.627273209298,0.825,234.807758574892,150,313.077011433189,200,0.02,500,2055
16.2234255324304,0.97,0.8,41,25.3955844906205,-1354.44142614827,0.00946615419236346,220,0.5,3.61955599702132,4,10,16.4341085271318,0.1,0.164341085271318,5.94398986852789,3.743,52.2705304677107,311.070265519488,200,125.962124761903,27.238,0.5,25.9668026446668,16.582,0.264176583209956,1,410.429805586529,0.1,-1.33113752363825,21.27565,101.3246,0.331,1500,1515.92276428895,4.29701693192524,2,0.5,1053.22236006271,660,305.65,312.812299259771,0.825,268.551330017569,100,537.102660035138,200,0.02,500,3687
4.84792110430198,0.97,0.8,41,23.1382220417176,706.617806193393,0.0017173427459576,220,0.5,1.9907309654853,2,0.222686609249607,0.365965590394703,0.1,0.164341085271318,5.65429082918995,3.743,38.4596584037892,78.1491104434369,50,106.755202541182,27.238,1,24.7385965605693,16.582,0.485504026756204,1,74.582309145555,0.1,-0.722567697245599,21.27565,101.3246,0.331,500,1144.17562998661,3.95625529299326,2,0.5,1031.13365754142,220,305.65,311.159126430278,0.825,120.683229289006,50,482.732917156025,200,0.02,500,1007
27.8575655238282,0.97,0.8,41,23.1721368811413,2659.45996325021,0.0112693227986639,220,0.5,3.49604890110097,3,3.89282389022447,6.39750902889602,0.1,0.164341085271318,4.98729639710904,3.743,46.3815862050686,296.410709824134,200,70.4515161210289,27.238,0.5,21.9033883487913,16.582,0.335116068055337,1,491.395651687958,0.1,-1.09327833535759,21.27565,101.3246,0.331,1500,1515.92276428895,3.2147132738717,2,0.5,978.145523265801,660,305.65,307.082219356529,0.825,276.904544303952,150,369.206059071936,200,2,500,2788
12.180201259136,0.97,0.8,41,28.3116593439339,-4806.27636333496,0.0108963769929029,220,0.5,2.69688964235333,4,10,16.4341085271318,0.1,0.164341085271318,6.72849724788511,3.743,26.5696706548618,143.958643455729,100,189.89366876423,27.238,0.5,29.2839492905542,16.582,0.468007716920775,1,470.477294287747,0.1,-0.75927049405348,21.27565,101.3246,0.331,1500,1607.68388561189,5.27468289113234,2,0.5,1110.63639626258,660,313.15,316.990887776575,0.825,699.935477618161,200,699.935477618161,200,0.02,500,3329
14.6603069028348,0.97,0.8,41,17.4135525181186,5423.0696767199,0.00190708377469749,220,0.5,1.40501936363352,2,0.929825959936588,1.52808607369424,0.1,0.164341085271318,3.14561569120227,3.743,78.0969678762409,142.13599737962,200,15.3157797618098,27.238,0.5,14.0090057947258,16.582,0.451630755103853,1,84.3170915780055,0.1,-0.794890346492613,21.27565,101.3246,0.331,500,972.960617714357,1.50023939220859,2,0.5,810.546558213218,220,290.65,292.986961820245,0.825,103.465417311519,150,137.953889748692,200,2,500,1814
3.2340286562697,0.97,0.8,41,26.4231974135147,1053.68761481344,0.000563326713321408,220,0.5,2.07560115096994,2,0.15144846369258,0.248892048859125,0.1,0.164341085271318,3.83340579032942,3.743,3.90763525448894,208.727719590106,200,29.4777829879386,27.238,1,16.9702523952167,16.582,0.385706659293857,1,24.7631361845336,0.1,-0.952678148441615,21.27565,101.3246,0.331,100,906.340331127716,2.08050803364241,2,0.5,877.669459835714,44,298.15,298.872908131942,0.825,210.459852969787,200,210.459852969787,200,0.02,500,1895
11.4993277056739,0.97,0.8,41,26.5146811116963,857.116573299438,0.00489254727953749,220,0.5,1.95314474244208,2,10,16.4341085271318,0.1,0.164341085271318,5.71518527337404,3.743,-8.35211173655009,156.335493347084,100,110.609625913265,27.238,1,24.9969191025195,16.582,2.91146315187931,1,212.40348595287,0.1,1.06865575615426,21.27565,101.3246,0.331,500,1239.87326231162,4.02695790418486,2,0.5,1035.82004479585,220,313.15,311.512071328042,0.825,246.952723216914,100,493.905446433828,200,0.02,500,1309
